sample_id	species	biosample_id	fastq_num
AMB_5_3	arcana	SAMN37254806	18
BH_10_1	arcana	SAMN37254807	18
BH_8_2	saxatilis	SAMN37254808	18
BUR_Lsax_F	saxatilis	SAMN37254809	18
BUR_Lsax_M	saxatilis	SAMN37254810	18
CEA_Larc_F_2	arcana	SAMN37254812	18
CEA_Lsax_F_1	saxatilis	SAMN37254813	18
DER_Lten_F	saxatilis	SAMN37254822	18
DER_Lten_M	saxatilis	SAMN37254823	18
SAMN14643006	arcana	SAMN14643006	3
W_arc_02_La	arcana	SAMN14643007	3
W_arc_03_La	arcana	SAMN14643008	3
W_arc_04_La	arcana	SAMN14643009	3
83_AB1_Lsb	saxatilis	SAMN37254800	4
88_AB1_Lsb	saxatilis	SAMN37254801	4
W_sax_01_Ls	saxatilis	SAMN14643017	3
W_ sax_02_Ls	saxatilis	SAMN14643018	2
W_ sax _03_Ls	saxatilis	SAMN14643019	2
W_ sax_04_Ls	saxatilis	SAMN14643020	2
ACF_1	saxatilis	SAMN37254802	8
ACF_2	saxatilis	SAMN37254803	8
ACF_3	saxatilis	SAMN37254804	8
ACF_4	saxatilis	SAMN37254805	8
NE_W1_331_Lsax_F	saxatilis	SAMN37254845	18
NE_W1_356_Lsax_M	saxatilis	SAMN37254846	18
IMI_6_2	saxatilis	SAMN37254834	18
CZA005_Ls	saxatilis	SAMN37254814	4
CZA020_Ls	saxatilis	SAMN37254815	4
CZA506_Ls	saxatilis	SAMN37254816	4
CZA524_Ls	saxatilis	SAMN37254817	4
CZD309_Ls	saxatilis	SAMN37254818	4
CZD390_Ls	saxatilis	SAMN37254819	4
CZD563_Ls	saxatilis	SAMN37254820	4
CZD565_Ls	saxatilis	SAMN37254821	4
LR_11_Ls	saxatilis	SAMN37254835	4
LR_14_Ls	saxatilis	SAMN37254836	4
OBI_12_5	saxatilis	SAMN37254856	18
PSM2_4_4	saxatilis	SAMN37254857	18
NE_E1_367_La	arcana	SAMN14642997	3
NE_E2_140_La	arcana	SAMN14642998	2
NE_E2_158_La	arcana	SAMN14642999	2
NE_E2_410_La	arcana	SAMN14643000	2
NE_E2_429_La	arcana	SAMN14643001	2
NE_E4_Larc_F_1	arcana	SAMN37254840	18
NE_E4_Larc_F_2	arcana	SAMN37254841	18
NE_E1_022_Lsb	saxatilis	SAMN37254837	4
NE_E2_023_Lsb	saxatilis	SAMN37254838	4
NE_E2_151_Ls	saxatilis	SAMN14643010	2
NE_E2_159_Ls	saxatilis	SAMN14643011	2
NE_E2_382_Ls	saxatilis	SAMN14643012	2
NE_E2_439_Ls	saxatilis	SAMN14643013	2
NE_E2_030_Lsax_F	saxatilis	SAMN37254839	18
NE_F1_007_La	arcana	SAMN14643002	2
NE_F1_137_La	arcana	SAMN14643003	2
NE_F1_338_La	arcana	SAMN14643004	2
NE_F1_371_La	arcana	SAMN14643005	2
NE_F1_003_Ls	saxatilis	SAMN14643014	2
NE_F1_087_Lsb	saxatilis	SAMN37254842	4
NE_F1_134_Ls	saxatilis	SAMN14643015	2
NE_F1_263_Lsb	saxatilis	SAMN37254843	4
NE_F1_333_Ls	saxatilis	SAMN14643016	2
NE_F1_373_Lsb	saxatilis	SAMN37254844	4
ER_EA1_073_Ls	saxatilis	SAMN37254824	4
ER_EA1_116_Ls	saxatilis	SAMN37254825	4
ER_EA1_463_Ls	saxatilis	SAMN37254826	4
ER_EA1_468_Ls	saxatilis	SAMN37254827	4
ER_EB1_100_Ls	saxatilis	SAMN37254831	4
ER_EB1_101_Ls	saxatilis	SAMN37254832	4
ER_EB1_266_Ls	saxatilis	SAMN37254833	4
ER_EA1_547	saxatilis	SAMN23557378	2
ER_EA2_029	saxatilis	SAMN23559783	2
ER_EA2_569	saxatilis	SAMN23559786	2
STA_Larc_F_1	arcana	SAMN37254858	18
STA_Larc_F_2	arcana	SAMN37254859	18
STA_Lsax_F_1	saxatilis	SAMN37254860	18
STA_Lsax_F_2	saxatilis	SAMN37254861	18
TCF_1	saxatilis	SAMN37254864	8
TCF_2	saxatilis	SAMN37254865	8
TCF_3	saxatilis	SAMN37254866	8
TCF_4	saxatilis	SAMN37254867	8
TWF_1	saxatilis	SAMN37254872	8
TWF_2	saxatilis	SAMN37254873	8
TWF_3	saxatilis	SAMN37254874	8
TWF_4	saxatilis	SAMN37254875	8
SWE_Lten_F	saxatilis	SAMN37254862	18
SWE_Lten_M	saxatilis	SAMN37254863	18
TF_130_La	arcana	SAMN37254868	4
TF_155_La	saxatilis	SAMN37254869	4
TF9_153_Ls	saxatilis	SAMN37254870	4
TF9_157_Ls	saxatilis	SAMN37254871	4
NOR_Larc_F_1	arcana	SAMN37254847	18
NOR_Larc_F_2	arcana	SAMN37254848	18
NOR_Larc_F_4	arcana	SAMN37254850	18
NOR_Lsax_F_1	saxatilis	SAMN37254852	18
NOR_Lsax_F_2	saxatilis	SAMN37254853	18
NOR_Lsax_F_3	saxatilis	SAMN37254854	18
NOR_Lsax_F_4	saxatilis	SAMN37254855	18
WS_female_Ls	saxatilis	SAMN37254876	4
WS_male_Ls	saxatilis	SAMN37254877	4
York_B-12_Ls	saxatilis	SAMN37254879	4
York_B-1_Ls	saxatilis	SAMN37254878	4
York_T-3_Ls	saxatilis	SAMN37254880	4
York_T-9_Ls	saxatilis	SAMN37254881	4
